equipo: 9  | ranking: 0.874062 | ganados: 60 | perdidos: 6
equipo: 26 | ranking: 0.803975 | ganados: 57 | perdidos: 10
equipo: 5  | ranking: 0.692428 | ganados: 47 | perdidos: 19
equipo: 27 | ranking: 0.659346 | ganados: 45 | perdidos: 21
equipo: 20 | ranking: 0.655552 | ganados: 45 | perdidos: 22
equipo: 12 | ranking: 0.629707 | ganados: 42 | perdidos: 24
equipo: 15 | ranking: 0.577366 | ganados: 39 | perdidos: 28
equipo: 1  | ranking: 0.565689 | ganados: 39 | perdidos: 28
equipo: 14 | ranking: 0.563176 | ganados: 39 | perdidos: 28
equipo: 0  | ranking: 0.558821 | ganados: 38 | perdidos: 29
equipo: 3  | ranking: 0.558224 | ganados: 37 | perdidos: 29
equipo: 11 | ranking: 0.547961 | ganados: 36 | perdidos: 31
equipo: 4  | ranking: 0.516006 | ganados: 33 | perdidos: 32
equipo: 24 | ranking: 0.515940 | ganados: 35 | perdidos: 33
equipo: 10 | ranking: 0.511327 | ganados: 34 | perdidos: 33
equipo: 6  | ranking: 0.502178 | ganados: 34 | perdidos: 33
equipo: 8  | ranking: 0.500250 | ganados: 34 | perdidos: 33
equipo: 28 | ranking: 0.487206 | ganados: 32 | perdidos: 35
equipo: 29 | ranking: 0.483709 | ganados: 31 | perdidos: 35
equipo: 16 | ranking: 0.435024 | ganados: 29 | perdidos: 39
equipo: 21 | ranking: 0.432244 | ganados: 29 | perdidos: 37
equipo: 7  | ranking: 0.420858 | ganados: 28 | perdidos: 40
equipo: 19 | ranking: 0.414393 | ganados: 28 | perdidos: 40
equipo: 25 | ranking: 0.412817 | ganados: 26 | perdidos: 40
equipo: 18 | ranking: 0.384520 | ganados: 24 | perdidos: 42
equipo: 17 | ranking: 0.319984 | ganados: 21 | perdidos: 46
equipo: 23 | ranking: 0.298952 | ganados: 18 | perdidos: 49
equipo: 2  | ranking: 0.290735 | ganados: 19 | perdidos: 48
equipo: 13 | ranking: 0.236721 | ganados: 14 | perdidos: 54
equipo: 22 | ranking: 0.150813 | ganados: 9 | perdidos: 58
