equipo: 26 | ranking: 0.804811 | ganados: 57 | perdidos: 10
equipo: 9  | ranking: 0.782746 | ganados: 60 | perdidos: 12
equipo: 5  | ranking: 0.695369 | ganados: 47 | perdidos: 19
equipo: 27 | ranking: 0.661104 | ganados: 45 | perdidos: 21
equipo: 20 | ranking: 0.652588 | ganados: 45 | perdidos: 22
equipo: 12 | ranking: 0.628056 | ganados: 42 | perdidos: 24
equipo: 15 | ranking: 0.579070 | ganados: 39 | perdidos: 28
equipo: 1  | ranking: 0.568919 | ganados: 39 | perdidos: 28
equipo: 14 | ranking: 0.562645 | ganados: 39 | perdidos: 28
equipo: 0  | ranking: 0.560436 | ganados: 38 | perdidos: 29
equipo: 3  | ranking: 0.558513 | ganados: 37 | perdidos: 29
equipo: 11 | ranking: 0.547184 | ganados: 36 | perdidos: 31
equipo: 4  | ranking: 0.517691 | ganados: 33 | perdidos: 32
equipo: 24 | ranking: 0.513018 | ganados: 35 | perdidos: 33
equipo: 10 | ranking: 0.509572 | ganados: 34 | perdidos: 33
equipo: 8  | ranking: 0.503130 | ganados: 34 | perdidos: 33
equipo: 6  | ranking: 0.501711 | ganados: 34 | perdidos: 33
equipo: 29 | ranking: 0.486777 | ganados: 31 | perdidos: 35
equipo: 28 | ranking: 0.485558 | ganados: 32 | perdidos: 35
equipo: 16 | ranking: 0.435478 | ganados: 29 | perdidos: 39
equipo: 21 | ranking: 0.435054 | ganados: 29 | perdidos: 37
equipo: 19 | ranking: 0.417397 | ganados: 28 | perdidos: 40
equipo: 7  | ranking: 0.416775 | ganados: 28 | perdidos: 40
equipo: 25 | ranking: 0.409765 | ganados: 26 | perdidos: 40
equipo: 18 | ranking: 0.381443 | ganados: 24 | perdidos: 42
equipo: 17 | ranking: 0.320861 | ganados: 21 | perdidos: 46
equipo: 23 | ranking: 0.296019 | ganados: 18 | perdidos: 49
equipo: 2  | ranking: 0.293564 | ganados: 19 | perdidos: 48
equipo: 22 | ranking: 0.240887 | ganados: 15 | perdidos: 58
equipo: 13 | ranking: 0.233848 | ganados: 14 | perdidos: 54
