equipo: 9  | ranking: 0.255963 | ganados: 60 | perdidos: 6
equipo: 26 | ranking: 0.254828 | ganados: 57 | perdidos: 10
equipo: 5  | ranking: 0.253209 | ganados: 47 | perdidos: 19
equipo: 27 | ranking: 0.252710 | ganados: 45 | perdidos: 21
equipo: 20 | ranking: 0.252615 | ganados: 45 | perdidos: 22
equipo: 12 | ranking: 0.252257 | ganados: 42 | perdidos: 24
equipo: 15 | ranking: 0.251448 | ganados: 39 | perdidos: 28
equipo: 1  | ranking: 0.251271 | ganados: 39 | perdidos: 28
equipo: 14 | ranking: 0.251233 | ganados: 39 | perdidos: 28
equipo: 3  | ranking: 0.251174 | ganados: 37 | perdidos: 29
equipo: 0  | ranking: 0.251169 | ganados: 38 | perdidos: 29
equipo: 11 | ranking: 0.251008 | ganados: 36 | perdidos: 31
equipo: 4  | ranking: 0.250537 | ganados: 33 | perdidos: 32
equipo: 24 | ranking: 0.250529 | ganados: 35 | perdidos: 33
equipo: 10 | ranking: 0.250461 | ganados: 34 | perdidos: 33
equipo: 6  | ranking: 0.250324 | ganados: 34 | perdidos: 33
equipo: 8  | ranking: 0.250297 | ganados: 34 | perdidos: 33
equipo: 28 | ranking: 0.250101 | ganados: 32 | perdidos: 35
equipo: 29 | ranking: 0.250042 | ganados: 31 | perdidos: 35
equipo: 16 | ranking: 0.249339 | ganados: 29 | perdidos: 39
equipo: 21 | ranking: 0.249268 | ganados: 29 | perdidos: 37
equipo: 7  | ranking: 0.249131 | ganados: 28 | perdidos: 40
equipo: 19 | ranking: 0.249033 | ganados: 28 | perdidos: 40
equipo: 25 | ranking: 0.248972 | ganados: 26 | perdidos: 40
equipo: 18 | ranking: 0.248539 | ganados: 24 | perdidos: 42
equipo: 17 | ranking: 0.247605 | ganados: 21 | perdidos: 46
equipo: 23 | ranking: 0.247294 | ganados: 18 | perdidos: 49
equipo: 2  | ranking: 0.247169 | ganados: 19 | perdidos: 48
equipo: 13 | ranking: 0.246425 | ganados: 14 | perdidos: 54
equipo: 22 | ranking: 0.245080 | ganados: 9 | perdidos: 58
