equipo: 26 | ranking: 0.850746 | ganados: 57 | perdidos: 10
equipo: 9  | ranking: 0.845070 | ganados: 60 | perdidos: 11
equipo: 5  | ranking: 0.712121 | ganados: 47 | perdidos: 19
equipo: 27 | ranking: 0.681818 | ganados: 45 | perdidos: 21
equipo: 20 | ranking: 0.671642 | ganados: 45 | perdidos: 22
equipo: 12 | ranking: 0.636364 | ganados: 42 | perdidos: 24
equipo: 1  | ranking: 0.582090 | ganados: 39 | perdidos: 28
equipo: 14 | ranking: 0.582090 | ganados: 39 | perdidos: 28
equipo: 15 | ranking: 0.582090 | ganados: 39 | perdidos: 28
equipo: 0  | ranking: 0.567164 | ganados: 38 | perdidos: 29
equipo: 3  | ranking: 0.560606 | ganados: 37 | perdidos: 29
equipo: 11 | ranking: 0.537313 | ganados: 36 | perdidos: 31
equipo: 24 | ranking: 0.514706 | ganados: 35 | perdidos: 33
equipo: 4  | ranking: 0.507692 | ganados: 33 | perdidos: 32
equipo: 6  | ranking: 0.507463 | ganados: 34 | perdidos: 33
equipo: 8  | ranking: 0.507463 | ganados: 34 | perdidos: 33
equipo: 10 | ranking: 0.507463 | ganados: 34 | perdidos: 33
equipo: 28 | ranking: 0.477612 | ganados: 32 | perdidos: 35
equipo: 29 | ranking: 0.469697 | ganados: 31 | perdidos: 35
equipo: 21 | ranking: 0.439394 | ganados: 29 | perdidos: 37
equipo: 16 | ranking: 0.426471 | ganados: 29 | perdidos: 39
equipo: 7  | ranking: 0.411765 | ganados: 28 | perdidos: 40
equipo: 19 | ranking: 0.411765 | ganados: 28 | perdidos: 40
equipo: 25 | ranking: 0.393939 | ganados: 26 | perdidos: 40
equipo: 18 | ranking: 0.363636 | ganados: 24 | perdidos: 42
equipo: 17 | ranking: 0.313433 | ganados: 21 | perdidos: 46
equipo: 2  | ranking: 0.283582 | ganados: 19 | perdidos: 48
equipo: 23 | ranking: 0.268657 | ganados: 18 | perdidos: 49
equipo: 13 | ranking: 0.205882 | ganados: 14 | perdidos: 54
equipo: 22 | ranking: 0.194444 | ganados: 14 | perdidos: 58
